Issuer_Name,Issuer_Location,Issuer_Sector,Interest_Rate,Credit_Rating,Credit_Rating_Numeric,ESG_Score,Market_Demand,Inflation_Rate,Government_Support,Project_Risk,Liquidity,Currency_Risk,Issuer_Reputation,Bond_Price
360 ENERGY SOLAR SA,Argentina,Corporate - Energy,2.1854305348131313,AAA,1,92.51740005599477,85.47285567302126,2.2598052122136814,4.794549781497657,8.526661531017206,8.820481860076987,0.4988150201906677,86.18976150873928,101.2243538847704
A.P. MOLLER - MAERSK A/S,Denmark,Corporate - Industrials,4.7782143788446225,A,3,60.599702734932904,90.07041668344667,1.8661847157438225,3.6727770128070922,7.748834322529488,4.443938189157698,3.8841568472414427,83.48615039155753,97.54581029264143
A2A S.P.A.,Italy,Corporate - Utilities,3.793972738151323,B,6,82.86767410850644,61.51461783952011,2.054046046725559,9.138145226249442,3.9273511422422756,5.889436485073487,1.8570845599661605,89.93745744760004,99.28345197027295
AAREAL BANK AG,Germany,Financials - Consumer Finance,3.1939631788866647,AAA,1,73.6140902081491,138.32736014262238,0.5223894212516582,3.6829546765570953,5.043807042987668,1.3918780275798703,0.19695081444843332,62.85573315020725,104.73053686316064
AARGAUISCHE KANTONALBANK,Switzerland,Financials - Banking,1.2020838819909643,BBB,4,94.00783689607425,91.4825655521352,1.7680598589722771,3.7344459114543547,4.643317447951528,0.03387847982639136,1.8162308928108861,80.90214060408779,98.82112937039392
AB ELECTROLUX (PUBL),Sweden,Corporate - Consumer Discretionary,1.201975341512912,BB,5,60.787033958822704,88.72744114248414,2.6542044836025824,3.83534512433977,2.5339810755937267,2.4529009364364294,3.053213754608224,73.00331194789754,96.58215192809277
AB IGNITIS GRUPE,Lithuania,Corporate - Utilities,0.7613762547568976,AAA,1,83.89066001550222,115.96902729304743,1.8280811059023074,8.366202103676581,5.050280461487669,7.045860321333502,0.5962508384073328,89.12208176000968,106.59289162214301
ABANCA CORP BANCARIA SA,Spain,Financials - Banking,4.3977926559872085,BBB,4,80.38760611263612,94.20334209311235,2.696657618936667,6.507883208469019,0.30496547852754463,0.991945301128786,4.620172462151273,65.46280552366427,100.50248565615846
ABN AMRO BANK N.V.,Netherlands,Financials - Banking,3.20501755284444,AA,2,64.76507387859164,114.8233468807846,1.1990568931905043,6.141688503188927,1.3181037349745917,9.08887440386468,0.3883620663641929,82.15893084349479,105.60243850410112
ABSA BANK LIMITED,South Africa,Financials - Banking,3.6863266000822046,BBB,4,56.83004518255863,56.14462901307875,2.9394260134451766,3.3414302238386218,8.865895961689464,2.150225693561846,4.650033599165831,94.11062059086566,92.28689508669449
ABSA GROUP LTD,South Africa,Financials - Banking,0.592630224331111,BB,5,82.58198802386383,131.37233437222272,2.265293721360357,8.179041768324394,7.516797670314233,2.045936142917758,3.5356875896784326,70.10752380974644,102.3831504119193
ABU DHABI COMMERCIAL BANK P.J.S.C.,United Arab Emirates,Financials - Banking,4.864594334728975,BBB,4,86.92987290661654,144.05039528794026,1.1322892982897188,0.38363861355701134,4.228684090590871,1.8150796162149552,1.648560877071018,53.331104368373076,101.68856235607356
ABU DHABI NATIONAL ENERGY CO PJSC,United Arab Emirates,Corporate - Utilities,4.2459918836018975,A,3,65.78136718816751,114.8765386159386,1.210161427561499,8.707971723381132,5.171503622838772,0.13981712971364746,1.9537517385454661,75.80254111708965,103.66208346721169
AC ENERGY FINANCE INTERNATIONAL LTD,Cayman Islands,Corporate - Utilities,1.4555259980522428,BB,5,82.2416302011157,145.4565928858811,2.3840913937086112,5.127498997939296,3.6999888595997743,7.718054684782346,3.7040468236637207,67.29862439035129,103.76377246250462
ACCESS BANK PLC,Nigeria,Financials - Banking,1.318212352431953,B,6,69.75654538057516,65.14323143699633,2.9898187796373303,3.982502348634128,7.407798671606725,8.750345312452586,3.007355504406037,83.61126902735874,94.00701828999507
ACCIONA ENERGIA FINANCIACION FILIALES SA,Spain,Corporate - Energy,1.325320294340452,AA,2,85.66034416413089,97.74161894803537,1.7468833460874655,4.971672807176857,7.841871792320796,6.141627026161989,3.358214607274726,97.5516462374303,101.08503368846613
ACCIONA FINANCIACION FILIALES SA,Spain,Corporate - Industrials,1.8690900933179198,A,3,59.96076374470265,110.18067339454473,1.2749012873827765,6.674155305338311,7.632851902031591,1.881999816798623,1.9458230825673999,74.28041589984235,100.82583831301424
ACEA S.P.A.,Italy,Corporate - Utilities,2.86140394234507,B,6,94.51075013180872,108.17366474211866,3.101034820731801,0.1276542651789736,7.2261172483444955,2.8527799694087976,2.439067409037995,73.30951150777669,95.87582801361387
ACEF HOLDING SCA,Luxembourg,Financials - Real estate,2.4437525838895207,BBB,4,64.37047982327898,90.14617790890432,2.507804875252505,8.715518564582478,2.0450433869279583,4.759266973649633,4.949337420189467,82.729240009573,101.01963656159899
ACEN FINANCE LTD,Cayman Islands,Corporate - Utilities,1.8105311308911887,BB,5,68.38929938780765,83.80844093662614,1.8442564618492296,4.467395253113928,3.3796997924047876,9.543459516233009,1.0696143524985886,55.17487517967838,98.08076637957754
ACHMEA BV,Netherlands,Financials - Insurance,3.2533380262507077,AA,2,52.90459760401749,62.68240225504188,1.9637005858379055,3.429665197000782,4.69845434983675,2.4735137181774283,2.089280932610657,62.675309446250736,95.32261056222174
ACORN PROJECT TWO LLP,Kenya,Financials - Real estate,1.1277223729341883,A,3,55.57561061606382,89.17424505622782,1.1127694038091893,1.382455656340571,3.3079299142765564,7.316459039198881,1.4591159378698366,95.94896627501993,98.38273048465035
ACS SERVICIOS COMUNICACIONES Y ENERGIA SL,Spain,Corporate - Industrials,1.8146509184084816,B,6,75.7930951356164,66.26608151054852,2.380407890194532,4.3946537435844215,7.54940200158329,4.394482232929203,3.825557552199249,83.4971306681883,94.08070471037237
ACTIVIA PROPERTIES INC,Japan,Financials - Real estate,2.148628294821613,B,6,63.379633836398575,123.43656764922184,1.5762275316286658,4.963227712843788,3.293535242499547,2.978473483600218,3.8200631283286035,50.67220219917081,99.54949469754979
ADANI GREEN ENERGY LTD,India,Corporate - Utilities,2.552314928976662,AA,2,91.77401128710972,70.883093549459,3.4869355300230476,4.036466944934778,1.3823208678533716,4.5591593702211375,1.4622273049869794,60.23127362795099,98.79863649927623
ADANI GREEN ENERGY UP LTD / PRAYATNA DEVELOPERS PVT LTD / PARAMPUJYA SOLAR ENERG,India,Corporate - Utilities,4.033291826268561,BBB,4,50.734669432747694,55.85653052845338,1.9405505457856635,6.786600938268971,3.9904045204830405,0.7120671754123253,0.40695158316491453,84.14186330144494,96.55901307347261
